# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-6867
# Selected columns: 6 (all)
# Timestamp: Tue, 08-Oct-2024 22:39:20
Gene ID	Gene Name	ARH77	Daudi	NAMALWA	Raji	Ramos	Toledo
ENSG00000000419	DPM1	220.0	143.0	179.0	138.0	185.0	216.0
ENSG00000000457	SCYL3	20.0	8.0	10.0	7.0	9.0	13.0
ENSG00000000460	C1orf112	17.0	30.0	17.0	11.0	12.0	26.0
ENSG00000000938	FGR	33.0	68.0	100.0	298.0	4.0	0.7
ENSG00000000971	CFH	0.1					
ENSG00000001036	FUCA2	36.0					0.1
ENSG00000001084	GCLC	18.0	33.0	23.0	20.0	23.0	26.0
ENSG00000001167	NFYA	71.0	65.0	61.0	59.0	121.0	111.0
ENSG00000001460	STPG1	1.0	2.0	3.0	5.0	7.0	5.0
ENSG00000001461	NIPAL3	9.0	17.0	7.0	16.0	23.0	15.0
ENSG00000001497	LAS1L	73.0	54.0	54.0	48.0	50.0	141.0
ENSG00000001561	ENPP4	40.0	26.0	13.0	14.0	32.0	14.0
ENSG00000001617	SEMA3F	0.1	1.0	0.9	0.1	0.2	0.6
ENSG00000001626	CFTR		0.1				
ENSG00000001629	ANKIB1	51.0	36.0	29.0	28.0	48.0	40.0
ENSG00000001630	CYP51A1	18.0	21.0	11.0	8.0	4.0	8.0
ENSG00000001631	KRIT1	7.0	5.0	7.0	4.0	11.0	11.0
ENSG00000002016	RAD52	6.0	10.0	8.0	9.0	8.0	11.0
ENSG00000002079	MYH16		0.1	0.1		0.1	0.4
ENSG00000002330	BAD	26.0	21.0	37.0	31.0	39.0	72.0
ENSG00000002549	LAP3	226.0	255.0	131.0	96.0	107.0	83.0
ENSG00000002586	CD99	70.0	26.0	14.0	29.0	5.0	28.0
ENSG00000002587	HS3ST1	0.1		0.1			4.0
ENSG00000002726	AOC1	0.1	0.2	0.1	0.1		
ENSG00000002745	WNT16	0.1	0.1	0.3	0.1		20.0
ENSG00000002746	HECW1						4.0
ENSG00000002822	MAD1L1	17.0	14.0	26.0	12.0	22.0	30.0
ENSG00000002834	LASP1	111.0	130.0	108.0	107.0	123.0	88.0
ENSG00000002919	SNX11	57.0	20.0	26.0	47.0	22.0	48.0
ENSG00000003056	M6PR	113.0	97.0	87.0	118.0	80.0	131.0
ENSG00000003096	KLHL13	1.0					0.1
ENSG00000003147	ICA1	2.0		3.0	0.6		0.3
ENSG00000003249	DBNDD1	9.0	0.1	6.0	1.0	4.0	
ENSG00000003393	ALS2	7.0	5.0	9.0	5.0	4.0	4.0
ENSG00000003400	CASP10	10.0	0.8	1.0	0.1	0.1	0.3
ENSG00000003402	CFLAR	24.0	3.0	3.0	5.0	21.0	2.0
ENSG00000003436	TFPI	2.0					
ENSG00000003509	NDUFAF7	17.0	21.0	27.0	22.0	12.0	15.0
ENSG00000003756	RBM5	11.0	21.0	16.0	19.0	33.0	20.0
ENSG00000003987	MTMR7	0.4	0.3	0.4	0.4	0.8	0.9
ENSG00000004059	ARF5	125.0	176.0	171.0	127.0	218.0	307.0
ENSG00000004139	SARM1	4.0	0.7	2.0	6.0	4.0	8.0
ENSG00000004142	POLDIP2	296.0	328.0	301.0	297.0	330.0	322.0
ENSG00000004399	PLXND1	0.3	4.0	15.0	0.1	3.0	5.0
ENSG00000004455	AK2	182.0	169.0	238.0	222.0	109.0	168.0
ENSG00000004468	CD38	7.0	363.0	155.0	235.0	313.0	226.0
ENSG00000004478	FKBP4	136.0	92.0	194.0	232.0	58.0	247.0
ENSG00000004487	KDM1A	142.0	92.0	177.0	202.0	81.0	221.0
ENSG00000004534	RBM6	17.0	81.0	32.0	57.0	55.0	50.0
ENSG00000004660	CAMKK1	0.2	3.0	2.0	3.0		0.1
ENSG00000004700	RECQL	80.0	68.0	65.0	66.0	53.0	130.0
ENSG00000004766	VPS50	12.0	8.0	12.0	9.0	17.0	16.0
ENSG00000004776	HSPB6	0.4	0.8	0.8	0.7	1.0	0.2
ENSG00000004777	ARHGAP33	6.0	7.0	5.0	4.0	20.0	8.0
