"Cell","PTPRC","TFRC","CD74","ITGAL","CLEC4C","EEA1","RAB5A","CD63","RAB7A","LAMP1"
"Jurkat","101.50"," 60.68","  1.37"," 12.15","  0.00","  3.67"," 30.64"," 93.76","107.26"," 55.28"
"Raji","  91.00"," 115.81","2909.40","  21.28","   0.00","   7.06","  14.21","  53.42"," 121.16","  32.35"
"Ramos","99","175","2333"," 104",NA,"13","72","32","344","70"
"Central memory CD8 T-cell","1110.6","7.6","709.3","185","0.2","5.9","46.1","47.8","161.1","10.5"
"Effector memory CD8 T-cell","1410.5","10","1828.8","347.7","0.5","5.8","57.9","71.3","205.8","12.2"
"Exhausted memory B-cell","335.3","23","16365.5","50.1","1","10.1","27.7","44.5","112.2","4.7"
"Memory CD4 T-cell TFH","998.3","8","498.2","133.5","0.3","5","33.8","26.5","151.8","3.9"
"Memory CD4 T-cell Th1","937.6","10.7","622.9","175.7","0.4","6.8","45","43.2","158.8","8.9"
"Memory CD4 T-cell Th1/Th17","954.2","7.5","545.4","168.6","0.4","4.7","46.1","52.7","168.1","8.5"
"Memory CD4 T-cell Th17","991.2","15.8","384.2","139.7","0.6","7","54.6","44.3","191","9.1"
"Memory CD4 T-cell Th2","793.3","14.2","440.2","112.1","0.4","7","44.5","45.4","169","6.6"
"naive B-cell","386.9","6.3","17372.6","29.9","5.4","4.8","34.5","32.4","114.1","4.9"
"naive CD4 T-cell","770.9","3.8","258.7","91.2","0.9","11.9","39.3","16.1","157.7","6.3"
"naive CD8 T-cell","644.8","4.5","214","94.1","0.5","8.9","36.7","20.5","150.7","5.7"
"Non-switched memory B-cell","401.5","9.4","16940.7","36.6","2.1","7.6","31.5","41.3","140.6","3.4"
"Plasmablast","57.1","28.2","1053.4","24.4","0.3","1.4","23.4","20.3","39.7","2.6"
"plasmacytoid DC","215.7","59.3","20724.4","49.8","440.1","4.7","81.7","68.6","193","18.1"
"Switched memory B-cell","318.7","24.6","18816.4","45.6","1.4","10.8","35.2","34.6","135.2","7.1"
"T-reg","914.7","12","582.8","112.9","0.4","7","54.3","35.3","165.7","8.6"
"Terminal effector memory CD4 T-cell","1617.5","6.5","739.6","409.3","0.2","9.2","59.2","73.5","188.4","10.3"
"Terminal effector memory CD8 T-cell","1173.5","10.8","1087.4","387.4","0.6","5.3","48","191.5","184.9","9.2"
"Vd2 gdTCR","987.8","5.6","1302.3","239.5","0.2","5.4","44","106.7","178.5","4.1"
